opportunity_id,company_id,company_name,title,opportunity_type,path_id,required_skills,preferred_skills,eligible_majors,class_years,location,min_gpa,posted_date,deadline,apply_url,source
OP0001,CO001,Deloitte,Strategy Associate Intern,internship,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Freshman|Sophomore,"Arlington, VA",3.0,2026-08-07,2026-11-17,https://example.com/apply (mock),mock
OP0002,CO001,Deloitte,Business Analyst Intern,internship,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Junior|Senior,"New York, NY",3.5,2026-09-02,2026-10-31,https://example.com/apply (mock),mock
OP0003,CO001,Deloitte,Data & AI Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Junior,Remote,3.0,2026-08-27,2026-11-25,https://example.com/apply (mock),mock
OP0004,CO001,Deloitte,Technology Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Freshman|Sophomore,"New York, NY",3.0,2026-09-18,2026-11-27,https://example.com/apply (mock),mock
OP0005,CO001,Deloitte,Assurance Associate,full_time,CP09,Accounting Fundamentals|Auditing|Excel Modeling|Financial Statement Analysis,Teamwork,ACIS|FIN,Senior,"New York, NY",3.2,2026-09-16,2026-11-18,https://example.com/apply (mock),mock
OP0006,CO001,Deloitte,Cybersecurity Analyst Intern,internship,CP10,Network Security|Penetration Testing|Linux|Python,Cloud (AWS/Azure/GCP),CS|CPE|BIT,Freshman|Sophomore,"Charlotte, NC",3.5,2026-08-09,2026-11-17,https://example.com/apply (mock),mock
OP0007,CO001,Deloitte,Security Engineer I,full_time,CP10,Network Security|Penetration Testing|Linux|Python,Cloud (AWS/Azure/GCP),CS|CPE|BIT,Senior,"Charlotte, NC",,2026-08-04,2026-10-05,https://example.com/apply (mock),mock
OP0008,CO002,Databricks,Software Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Sophomore|Junior,Remote,3.5,2026-08-12,2026-11-20,https://example.com/apply (mock),mock
OP0009,CO002,Databricks,Data Analyst Intern,internship,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Junior|Senior,"Richmond, VA",3.5,2026-08-26,2026-11-18,https://example.com/apply (mock),mock
OP0010,CO002,Databricks,Data Scientist Intern,internship,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Junior|Senior,"San Francisco, CA",3.5,2026-09-07,2026-11-25,https://example.com/apply (mock),mock
OP0011,CO002,Databricks,ML Engineer Intern,internship,CP03,Python|Machine Learning|Deep Learning|LLMs & AI Agents,Cloud (AWS/Azure/GCP)|System Design,CS|CPE|CMDA,Junior|Senior,"New York, NY",,2026-09-06,2026-11-29,https://example.com/apply (mock),mock
