path_id,path_name,onet_soc_code,career_family,core_skills,typical_majors,median_salary_usd_mock,description
CP01,Software Engineering,15-1252.00,Tech,Data Structures & Algorithms|Python|Java|Git|System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,132270,"Students pursuing software engineering typically build strength in Data Structures & Algorithms, Python, Java."
CP02,Data Science & Analytics,15-2051.00,Tech,Python|SQL|Statistics|Machine Learning|Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,112590,"Students pursuing data science & analytics typically build strength in Python, SQL, Statistics."
CP03,AI / Machine Learning Engineering,15-2051.00,Tech,Python|Machine Learning|Deep Learning|LLMs & AI Agents|Cloud (AWS/Azure/GCP)|System Design,CS|CPE|CMDA,140000,"Students pursuing ai / machine learning engineering typically build strength in Python, Machine Learning, Deep Learning."
CP04,Investment Banking,13-2051.00,Finance,Financial Modeling|DCF Valuation|LBO Modeling|M&A Concepts|Accounting Fundamentals|Excel Modeling|Networking|Behavioral Interviewing,FIN|ACIS|ECON,110000,"Students pursuing investment banking typically build strength in Financial Modeling, DCF Valuation, LBO Modeling."
CP05,Sales & Trading / Markets,41-3031.00,Finance,Financial Statement Analysis|Excel Modeling|Statistics|Python|Networking|Public Speaking,FIN|ECON|MATH,105000,"Students pursuing sales & trading / markets typically build strength in Financial Statement Analysis, Excel Modeling, Statistics."
CP06,Quantitative Finance,13-2099.01,Finance,Python|C/C++|Statistics|Stochastic Calculus|Machine Learning|Data Structures & Algorithms,MATH|STAT|CS|CMDA,150000,"Students pursuing quantitative finance typically build strength in Python, C/C++, Statistics."
CP07,Management Consulting,13-1111.00,Consulting,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling|Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,99410,"Students pursuing management consulting typically build strength in Case Interviewing, Market Sizing, Business Strategy."
CP08,Technology Consulting,13-1111.00,Consulting,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management|Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,95000,"Students pursuing technology consulting typically build strength in Cloud (AWS/Azure/GCP), SQL, Spark / Databricks."
CP09,Audit & Assurance,13-2011.00,Finance,Accounting Fundamentals|Auditing|Excel Modeling|Financial Statement Analysis|Teamwork,ACIS|FIN,79880,"Students pursuing audit & assurance typically build strength in Accounting Fundamentals, Auditing, Excel Modeling."
CP10,Cybersecurity,15-1212.00,Tech,Network Security|Penetration Testing|Linux|Python|Cloud (AWS/Azure/GCP),CS|CPE|BIT,120360,"Students pursuing cybersecurity typically build strength in Network Security, Penetration Testing, Linux."
CP11,Product Management,11-2021.00,Tech,Product Roadmapping|User Research|SQL|Business Strategy|Public Speaking|Leadership,CS|BIT|MGT|ID,125000,"Students pursuing product management typically build strength in Product Roadmapping, User Research, SQL."
CP12,UX / Product Design,15-1255.00,Tech,Figma|User Research|JavaScript|Public Speaking,ID|CS|COMM,98540,"Students pursuing ux / product design typically build strength in Figma, User Research, JavaScript."
CP13,Supply Chain & Operations,13-1081.00,Business,Supply Chain Analytics|Excel Modeling|SQL|Project Management|Tableau / Power BI,ISE|MGT|BIT,79400,"Students pursuing supply chain & operations typically build strength in Supply Chain Analytics, Excel Modeling, SQL."
CP14,Marketing & Brand Management,13-1161.00,Business,Digital Marketing|Market Research|Data Visualization|Public Speaking,MKTG|COMM|MGT,74680,"Students pursuing marketing & brand management typically build strength in Digital Marketing, Market Research, Data Visualization."
CP15,Mechanical / Aerospace Engineering,17-2141.00,Engineering,CAD (SolidWorks)|MATLAB|Structural Analysis|Project Management|Technical Writing,ME|ISE,99510,"Students pursuing mechanical / aerospace engineering typically build strength in CAD (SolidWorks), MATLAB, Structural Analysis."
CP16,Electrical & Embedded Engineering,17-2071.00,Engineering,Circuit Design|Embedded Systems|C/C++|MATLAB,EE|CPE,111910,"Students pursuing electrical & embedded engineering typically build strength in Circuit Design, Embedded Systems, C/C++."
CP17,Civil & Infrastructure Engineering,17-2051.00,Engineering,Structural Analysis|CAD (SolidWorks)|Project Management|Technical Writing,CEE,95890,"Students pursuing civil & infrastructure engineering typically build strength in Structural Analysis, CAD (SolidWorks), Project Management."
CP18,Biomedical Research & Engineering,17-2031.00,Health,Lab Research Methods|MATLAB|Statistics|Technical Writing|Python,BME|BIO,100730,"Students pursuing biomedical research & engineering typically build strength in Lab Research Methods, MATLAB, Statistics."
CP19,Public Policy & Government,19-3094.00,Government,Policy Analysis|Technical Writing|Statistics|Public Speaking,PSCI|ECON|COMM,132350,"Students pursuing public policy & government typically build strength in Policy Analysis, Technical Writing, Statistics."
